,year,sentence1,sentence2,score
4858,2014,i Cập tổ chức bầu tổng tuyển cử trước cuộc bầu cử tổng tổng tuyển cử trước cuộc bầu cử quốc Ai Cập tổ chức bầu tổng tổng tuyển cử trước cuộc bầu cử quốc Ai Cập tổ chức bầu tổng tổng tuyển cử trước cuộc bầu cử quốc Ai Cập tổ chức bầu tổng tổng tuyển cử trước cuộc bầu cử quốc Ai Cập tổ chức bầu tổng tổng tuyển cử trước cuộc bầu cử quốc Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ chức bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai Cập tổ tổ bầu tổng tổng bầu cử trước cuộc bầu cử quốc Ai Ai,"i Cập, Tổng thống lâm thời Ai Cập đã thề trong Nội các mới",1.4
4859,2014,ảnh sát tìm tài xế bị đâm chết trẻ em Cảnh Cảnh Cảnh Cảnh Cảnh Cảnh tìm tài xế bị đâm chết trẻ em,ảnh sát tìm kiếm súng trong cuộc bắn súng trong cuộc tuần hành New Orleans Ngày Mẹ của New Orleans của cảnh sát tìm kiếm súng trong cuộc tuần hành New Orleans của cuộc diễu hành Ngày Mẹ của New Orleans của cảnh sát.,0.0
4860,2014,iếp con trai tướng quân Trung Quốc bị 10 năm tù vì tội hiếp dâm con trai của tướng Trung Quốc bị 10 năm tù vì hiếp hiếp,iếp hiếp hiếp trẻ con nam ca sĩ của ca sĩ quân đội Trung Quốc bị 10 năm tù vì hiếp hiếp con trai ca sĩ của ca sĩ quân đội Trung Quốc bị 10 năm tù vì hiếp hiếp con trai ca sĩ quân đội Trung Quốc bị 10 năm tù vì hiếp hiếp con trai ca sĩ quân đội Trung Quốc,3.4
4861,2014,Ngày 7 tháng 8 năm 2013. ^ Pictures of the day. ngày 7 tháng 8 năm 2013,Hình ảnh của một ngày,2.8
4862,2014,Dzhokhar Tsarnaev bào không có tội đối với các vụ ném bom Boston,zhokhar Tsarnaev trong vụ đánh bom trong vụ đánh bom trong cuộc đánh bom trong cuộc đánh bom trong cuộc đánh bom trong cuộc đánh bom trong cuộc đánh bom trong cuộc đánh bom trong cuộc đánh bom trong cuộc đánh bom trong cuộc đua marathon Boston,2.6
4863,2014,Thủ tướng mới của Trung Quốc bác bỏ tuyên bố hacker của Mỹ.,Thủ tướng Trung Quốc Lý bác bỏ các cáo buộc hacker 'không có cơ sở' của Mỹ.,5.0
4864,2014,"Iran, cơ quan nguyên tử đang đàm phán lần đầu tiên kể từ cuộc bầu cử Rowhani.","IAEA, Iran sẽ tổ chức đàm phán hạt nhân đầu tiên kể từ cuộc bầu cử Rohani.",4.8
4865,2014,"Cổ phiếu Singapore kết thúc với 0,26%.","Cổ phiếu Singapore kết thúc với 0,11 pct",2.0
4866,2014,Trung Quốc cho cơ quan quản lý của Mỹ tiếp cận hồ sơ kiểm toán Trung Quốc cho cơ quan quản lý của Mỹ tiếp cận hồ sơ kiểm toán Trung Quốc cho cơ quan quản lý của Mỹ tiếp cận hồ sơ kiểm toán,rung Quốc phản đối việc Mỹ bán vũ khí cho Đài Loan. Trung Quốc phản đối việc Mỹ bán vũ khí cho Trung Quốc. Trung Quốc phản đối việc Mỹ bán vũ khí cho Đài Loan. Trung Quốc phản đối việc Mỹ bán vũ khí cho Trung Quốc.,0.8
4867,2014,"Những cơn lốc xoáy xé toạc vùng Trung Tây, giết chết 6 người và tàn phá các khu dân cư.","Bão Tornadoes gây thiệt hại nặng, bão đổ bộ vào vùng Trung Tây Hoa Kỳ, giết chết 5 người.",3.2
4868,2014,hụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải đối mặt với mức phí bảo hiểm xe cao hơn Phụ nữ phải đối mặt với phụ nữ phải đối mặt với phụ nữ phải,Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm Nữ lái xe đối mặt với tăng phí bảo hiểm,5.0
4869,2014,Bollywood cắt giảm một phần ba chi phí khi đồng rupee sụp đổ,ollywood cắt giảm chi phí khi cuộc khủng hoảng rupee,4.2
4870,2014,"10 người chết, 5 người bị thương trong tai nạn đường bộ ở Tây Bắc Trung Quốc 10 người chết, 5 người bị thương trong tai nạn đường bộ","1 người chết, 39 người bị thương trong tai nạn đường bộ E China 1 người chết, 39 người bị thương trong tai nạn đường bộ E China",1.75
4871,2014,Các nhà điều tra Mỹ đang chờ để thẩm vấn kẻ đánh bom Boston bị bắt.,oston. Cảnh sát tập họp trên phố để tìm bom Boston.,1.8
4872,2014,i Ai được thả Mubarak,hóng thích phiên phóng thích của Mubarak,5.0
4873,2014,Pakistan thả hầu hết tù nhân Taliban cao cấp nhất,Pakistan thả chỉ huy cao Taliban vào ngày thứ bảy,3.8
4874,2014,"6.3-magnitude quake hit Honshu, Japan: CENC",Tiếng động địa chấn lớn-6.0 Đảo Santa Cruz: CENC,1.8
4875,2014,Sprinters Tyson Gay và Asafa Powell xét nghiệm dương tính với chất cấm,printer Mỹ Tyson Tyson Gay thử nghiệm dương tính với chất cấm,3.4
4876,2014,"Bob McDonnell, cựu thống đốc bang Alabama, bị buộc tội tham nhũng, đã buộc tội cựu thống đốc bang Alabama Bob McDonnell về tội tham nhũng.","Cựu Thống đốc bang Virginia, Bob McDonnell, vợ bị buộc tội tham nhũng, bị kết án tù chung thân.",3.8
4877,2014,erkel Eva Merkel Nhiệm kỳ thứ ba tại Đức bầu Merkel,erkel thắng lớn ở Đức Merkel thắng lớn ở Đức bầu Merkel thắng lớn ở Đức Merkel,3.25
4878,2014, người chết trong vụ tai nạn của xe tải. 7 người chết trong vụ tai nạn của xe tải., người chết ở Mexico vụ tai nạn của xe tải quái quỷ 6 người chết ở Mexico vụ tai nạn của xe tải ma quái,3.2
4879,2014,ấn công Syria: Liên Hiệp Quốc xác nhận sarin được sử dụng trong tấn công Syria: Liên Hiệp Quốc xác nhận sarin được sử dụng trong tấn công Syria,Liên Liên Liên Liên Liên Liên Liên Liên Liên Liên Liên Liên tìm thấy sarin được sử dụng trong vụ tấn công vũ khí hoá học ở Syria,3.4
4880,2014,"Ba người chết, gồm cả một tay súng, trong vụ xả súng ở Maryland.",ắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland 3 người chết trong vụ bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong 3 người chết trong trung tâm Maryland bắn 3 người chết trong 3 người chết trong trung tâm Maryland bắn 3 người chết trong 3 người chết trong trung tâm Maryland bắn 3 người chết trong 3 người chết trong trung tâm Maryland bắn 3 người chết trong 3 người chết trong trung tâm Maryland bắn 3 người chết trong 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm Maryland bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm bắn 3 người chết trong trung tâm bắn 3 người,4.2
4881,2014,Sáu người Úc thiệt mạng trong vụ rơi máy bay ở Lào,"Hàng chục người thiệt mạng trong vụ rơi máy bay ở Lào, hàng chục người khác thiệt mạng trong vụ rơi máy bay ở Lào.",3.0
4882,2014,"Bom nổ tại trung tâm mua sắm Hy Lạp, hai người bị thương","Pháo nổ ở trung tâm mua sắm Athens, 2 thương binh bị thương.",4.4
4883,2014,Ba tự giải ba tự do trung tâm lạm dụng thăm dò ba tự do trong trung tâm lạm dụng,a tầng toà nhà sụp đổ trong Ebute Meta Tòa nhà ba tầng sụp đổ trong Ebute Meta,0.0
4884,2014,ri Lanka sớm kết thúc quan hệ đối tác sinh thái với Sri Lanka,Thủ Tướng Pakistan về quan hệ kinh tế sâu hơn với Sri Lanka,2.6
4885,2014,ũ khí hóa vũ khí của Syria có thể sẽ kết thúc trên biển khi vũ khí hóa vũ khí của Syria có thể sẽ kết thúc trên biển,yria Vũ khí hoá học dự trữ trên biển Mỹ tiêu diệt Syria,2.4
4886,2014,"Bom giết chết hai người, làm bị thương hàng chục người tại Boston Marathon Bom đạn giết chết hai người, làm bị thương hàng chục người",Chỉ có hai quả bom được tìm thấy trong cuộc tấn công của cuộc tấn công cuộc tấn công Marathon Boston,2.2
4887,2014,bama công bố kế hoạch kiểm soát súng vào thứ Tư,bama đặt ra kế hoạch kiểm soát súng Obama đặt ra kế hoạch kiểm soát súng Obama đặt ra kế hoạch kiểm soát súng,3.6
4888,2014,"Cảnh sát Kenya bắt giữ nhân viên tuyển mộ Al-Shabaab, nhà tài chính",ặp bị cảnh sát chống khủng bố bắt cặp ở Kenya: Cảnh sát chống khủng bố bắt cặp người Kenya bị cảnh sát chống khủng bố bắt cặp,3.2
4889,2014,iết chết 10 cô gái trẻ ở miền đông Afghanistan. Nổ giết chết 10 cô gái trẻ ở miền đông Afghanistan.,Vụ nổ giết chết 9 người ở miền nam Afghanistan,2.8
4890,2014,ối thẩm Mansour tuyên thệ nhậm chức Ai Cập tạm thời Tổng thống,ổng công lý Adly Mansour tuyên thệ nhậm chức Ai Cập tạm thời tổng thống,4.4
4891,2014,"Giáo hoàng Francis lên án sự thờ toàn cầu thờ toàn cầu, Giáo hoàng Francis lên án sự thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, Giáo hoàng Francis lên án sự thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, Giáo hoàng Francis lên án sự thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, Giáo hoàng Francis lên án sự thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, Giáo hoàng Francis lên án sự thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, Giáo hoàng Francis lên án toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, Giáo hoàng Francis lên án toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, Giáo hoàng Francis lên án toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn cầu, thờ toàn",i dân chết ở Lampedusa được tưởng niệm tại Lampedusa. Giáo hoàng Francis tưởng niệm những người di cư chết ở Lampedusa.,1.4
4892,2014,"elson Mandela, biểu tượng Nam Phi Nelson Mandela nhập viện Bệnh viện của biểu tượng Nam Phi Nelson Mandela Nelson Mandela đã nhập viện",ệnh viện Nelson Mandela của Nam Phi Nelson Mandela đã được Bệnh viện Nelson Mandela của Nam Phi Bệnh viện Nelson Mandela của Nam Phi Bệnh viện Nelson Mandela của Nam Phi,5.0
4893,2014,Hai binh lính Mỹ thiệt mạng trong cuộc tấn công 'bên trong' ở Afghanistan,8 binh sĩ thiệt mạng trong vụ đánh bom 8 binh sĩ thiệt mạng trong vụ đánh bom ở Pakistan 8 binh sĩ thiệt mạng trong vụ đánh bom ở Pakistan,0.8
4894,2014,ga rời Syria sang Liban Nga rời Syria sang Liban,Nga cung cấp viện trợ nhân đạo cho người tị nạn Syria ở Lebanon Nga cung cấp viện trợ nhân đạo cho người tị nạn Syria ở Lebanon Nga cung cấp viện trợ nhân nhân cho người tị nạn Syria ở Lebanon Nga cung cấp viện trợ nhân nhân cho người tị nạn Syria ở Lebanon Nga cung cấp viện trợ nhân nhân cho người tị nạn Syria ở Lebanon,2.2
4895,2014,Gunmen phục kích tàu cảnh sát bị pháo binh phục kích ở tàu cảnh sát ở vùng dầu Nigeria Pháo binh phục kích tàu cảnh sát ở cảng dầu Nigeria,găn cản cảnh cảnh sát Sudan ngăn cản cuộc biểu tình ngăn cản cảnh cảnh cảnh sát Sudan ngăn cản cuộc biểu kháng tại ủy ban nhân quyền,0.0
4896,2014,ếp hạng Hy Lạp và nâng cấp xếp hạng Hy Lạp.,ánh giá của Moody nâng cấp xếp hạng tín tín Hy Lạp,3.4
4897,2014, công đoàn Thổ Nhĩ Kỳ kêu công đoàn Thổ Nhĩ Kỳ kêu đình công vào thứ Hai để phản đối bạo lực của cảnh sát,Tình Thổ Nhĩ Thổ: Liên công kêu gọi đình công vì cảnh sát đàn áp,3.4
4898,2014,ibya đe doạ quân đội đối với dầu biểu tình Libyan đe doạ hành động quân sự đối với dầu biểu tình Libyan đe doạ hành động quân đội đối với dầu biểu tình Libyan đe doạ hành động quân đội đối với dầu biểu tình Libyan đe doạ hành quân Libyan đối quân Libya đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân quân Libyan đối hành với dầu biểu tình Libyan đe doạ quân đội đối với dầu biểu tình Lib Libya đe doạ hành quân quân Libyan đối hành với dầu biểu tình Lib Libya đe doạ hành quân quân đối dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ quân đội đối dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ quân đội đối dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ quân đội đối dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình Libyan đe doạ hành quân chống dầu biểu tình,Không khí bom đe doạ cuộc sơ tán tại Princeton,0.8
4899,2014,Hàng chục người chết trong cuộc chiến của Cộng hoà Trung Phi.,8 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người chết ở Cộng hoà Trung Phi sau các cuộc đụng 98 người,3.4
4900,2015,iếp xúc Twitter của NYPD Twitter tiếp cận Twitter của NYPD Chiến phản lại dữ liệu tiếp xúc Twitter của NYPD Twitter tiếp xúc phản hồi dữ dội,hiến dịch twitter của NYPD phản tác dụng,4.8
4901,2015,2 người chết trong tai nạn mỏ ở Tây Nam Trung Quốc 22 người chết trong tai nạn mỏ ở Tây Nam Trung Quốc 22 người chết trong tai nạn mỏ ở Tây Nam Trung Quốc 22 người chết trong tai nạn mỏ ở Tây Nam Trung Quốc 22 người chết trong tai nạn mỏ ở Tây Nam Trung Quốc 22 người chết trong tai nạn mỏ ở Tây Nam Trung Quốc,"2 người chết, hàng chục người bị thương do vụ nổ ở tây nam Pakistan",0.6
4902,2015,The Note's Must-Reads for Friday ngày 24 tháng 5 năm 2013 The Note' s Must-Reads for Friday ngày 24 tháng 5 năm 2013,The Note's Must-Reads for Tuesday ngày 29 tháng 10 năm 2013 The Note' s Must-Reads for Tuesday ngày 29 tháng 10 năm 2013,2.0
4903,2015,ỹ phá giết 5 người ở Pakistan,akistan 5 mạng người ở Pakistan,3.8
